date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:05	1080/1080	---M--	200	added ('OK')	image/png	etag:%225eec07a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/chart/2.png?img=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/chart/2199a.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:06	1052/1052	---M--	200	added ('OK')	image/png	etag:%22e6c4fe7a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/chart/1.png?img=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/chart/1199a.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:06	32002/32002	---M--	200	added ('OK')	image/png	etag:%2230da61b4ef91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-1.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-1.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:07	4244/4244	---M--	200	added ('OK')	image/png	etag:%22b07de8df191d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-1-icon.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-1-icon.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:07	30506/30506	---M--	200	added ('OK')	image/png	etag:%22903d14e4ef91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-2.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-2.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:07	4205/4205	---M--	200	added ('OK')	image/png	etag:%2210726baef191d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-2-icon.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-2-icon.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:08	3607/3607	---M--	200	added ('OK')	image/png	etag:%220e4ec69f391d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-wound.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-wound.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:08	3515/3515	---M--	200	added ('OK')	image/png	etag:%225039ec88f391d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-umbrella.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-umbrella.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:09	3536/3536	---M--	200	added ('OK')	image/png	etag:%22b09d3cb0f391d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-hold-gray.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-hold-gray.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:09	3880/3880	---M--	200	added ('OK')	image/png	etag:%22901192d4f391d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-shield.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-shield.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:10	3433/3433	---M--	200	added ('OK')	image/png	etag:%22f01f26faf391d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bone-gray.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bone-gray.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:10	3252/3252	---M--	200	added ('OK')	image/png	etag:%2240218021f491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bus.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bus.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:10	3443/3443	---M--	200	added ('OK')	image/png	etag:%2240bd7049f491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bone.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-bone.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:11	34088/34088	---M--	200	added ('OK')	image/png	etag:%22805ccf091d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-3.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-3.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:11	4546/4546	---M--	200	added ('OK')	image/png	etag:%226056d9cff191d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-3-icon.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-3-icon.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:12	24590/24590	---M--	200	added ('OK')	image/png	etag:%2250da32ef091d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-4.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-4.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:12	4817/4817	---M--	200	added ('OK')	image/png	etag:%22b05bf7f2f191d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-4-icon.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-4-icon.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:13	3749/3749	---M--	200	added ('OK')	image/png	etag:%2240ec46df491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-scooter.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-scooter.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:13	3790/3790	---M--	200	added ('OK')	image/png	etag:%2210b1b798f491d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-holiday.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-icon-holiday.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:14	67983/67983	---M--	200	added ('OK')	image/png	etag:%2270aab91cf291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-honestbee.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-honestbee.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:14	34710/34710	---M--	200	added ('OK')	image/png	etag:%22c0869172f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-kiwi.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-kiwi.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:14	33873/33873	---M--	200	added ('OK')	image/png	etag:%2290becea5f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-wemo.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-wemo.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:15	18470/18470	---M--	200	added ('OK')	image/png	etag:%224090fe49f291d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-uber.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/sheet-uber.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:15	73703/73703	---M--	200	added ('OK')	image/jpeg	etag:%228e7e297b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img1.jpg	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img1.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:16	76948/76948	---MC-	200	added ('OK')	text/html	etag:%22f0e1947acfc8d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/product.html	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/product.html	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:16	35387/35387	---M--	200	added ('OK')	image/jpeg	etag:%22284ee37a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img2.jpg	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img2.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
